"anchor_id","anchor_hog","BDIS","n_multicopy_species","topology_metric","topology_signed_statistic","topology_exact_p","topology_screen_q","sister_topology_feature","sister_topology_direction","sister_topology_median","sister_topology_consistency","deployment_tissue","deployment_feature","deployment_direction","deployment_median","deployment_consistency","topology_discovery_signal","sister_topology_signal","deployment_signal","n_convergent_signals","discovery_rank"
"anchor_323","HOG:0026451","Bradi3g33770.v3.2",0,"module_edge_jaccard",0.105678626928627,0.0285714285714286,0.962990654205607,"anchor_module_mean_strength_ratio","annual_higher",0.235085916096027,1,"leaf","mean_activity","annual_higher",0.265923433045248,1,TRUE,TRUE,TRUE,3,1
"anchor_118","HOG:0028661","Bradi2g57350.v3.2",1,"module_edge_jaccard",0.0190661510634015,0.0285714285714286,0.962990654205607,"internal_edge_density","perennial_higher",-0.0214423634766116,1,"leaf","mean_activity","perennial_higher",-0.0596812158136734,1,TRUE,TRUE,TRUE,3,2
"anchor_143","HOG:0006346","Bradi4g39580.v3.2",0,"neighborhood_jaccard",0.0622667010737177,0.0571428571428571,0.962990654205607,"anchor_module_mean_strength_ratio","perennial_higher",-0.309986390719831,1,"leaf","mean_activity","annual_higher",0.0483837456377771,1,TRUE,TRUE,TRUE,3,3
"anchor_291","HOG:0027706","Bradi2g35167.v3.2",1,"neighborhood_jaccard",0.0378141424511501,0.0571428571428571,0.962990654205607,"internal_edge_density","perennial_higher",-0.0873705195797839,1,"leaf","mean_activity","perennial_higher",-0.0360979095025745,1,TRUE,TRUE,TRUE,3,4
"anchor_178","HOG:0010551","Bradi2g20415.v3.2",0,"matched_edge_correlation",0.0666550050816833,0.0571428571428571,0.962990654205607,"internal_edge_density","annual_higher",0.0275093181598732,1,"leaf","mean_activity","perennial_higher",-0.383963811419959,1,TRUE,TRUE,TRUE,3,5
"anchor_297","HOG:0028197","Bradi3g03790.v3.2",1,"neighborhood_jaccard",0.0293700039256511,0.0285714285714286,0.962990654205607,"anchor_module_mean_strength_ratio","annual_higher",0.117003481951578,0.75,"leaf","mean_activity","perennial_higher",-0.371085197453518,1,TRUE,FALSE,TRUE,2,6
"anchor_205","HOG:0025863","Bradi3g12460.v3.2",0,"matched_edge_mean_abs_log_threshold_distance",0.000833628855305156,0.0285714285714286,0.962990654205607,"anchor_module_mean_strength_ratio","perennial_higher",-0.110774279198939,0.75,"leaf","mean_activity","annual_higher",0.0386825539430736,1,TRUE,FALSE,TRUE,2,7
"anchor_263","HOG:0024905","Bradi4g14097.v3.2",0,"module_edge_jaccard",0.0541027699634915,0.0285714285714286,0.962990654205607,"internal_edge_density","perennial_higher",-0.107242478093497,1,"leaf","mean_activity","perennial_higher",-0.0765657396451547,0.75,TRUE,TRUE,FALSE,2,8
"anchor_87","HOG:0005589","Bradi1g09300.v3.2",0,"module_edge_jaccard",0.0301943726992084,0.0285714285714286,0.962990654205607,"internal_edge_density","perennial_higher",-0.0961496892640246,0.75,"root","mean_activity","annual_higher",0.0444376046346345,1,TRUE,FALSE,TRUE,2,9
"anchor_152","HOG:0028198","Bradi5g26030.v3.2",0,"neighborhood_jaccard",0.0180006405132336,0.0285714285714286,0.962990654205607,"internal_edge_density","perennial_higher",-0.0608556549476977,1,"leaf","early_to_late","perennial_higher",-0.175902607851403,0.75,TRUE,TRUE,FALSE,2,10
