Genes	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
GeneB_001	-0.248482933189933	0.802932699103618	0.00277218534359506	0.328640358591086	0.604603626725806	0.688807752342063	0.723902732496846	-0.900092115436322	1.47917192085213	0.939801023514297
GeneB_002	0.449034614924606	0.960169353448946	0.293992210266172	0.44173237773687	0.305823607763159	0.509562878427649	0.773478159420892	-1.77863526900959	1.22479765287857	1.17937637718133
GeneB_003	0.987653293639674	-1.92812516784833	1.17969641183277	-0.356009545088913	-0.0797143473788086	0.217380210939088	-1.1130401937158	1.90904216212893	-1.61430997435935	-0.888138558640392
GeneB_004	0.898116497250108	-2.01320858093194	1.4405522038274	-0.519316130498606	0.108926623234472	-0.209320126444529	-1.48129398371608	1.4068105074056	-1.58899042968589	-0.949976257831512
GeneB_005	-0.660521859045705	-1.60254022379425	1.19997831633667	0.333328855175731	0.744173364048388	-1.36568986058868	0.0497793231687396	-1.30230526261311	0.664555447289484	0.407597005613739
GeneB_006	-0.227960366961088	-1.61507485480986	1.60610465966581	0.916896437952581	0.596891893935945	-1.2491581381053	-0.203688654587054	-1.08090815225178	0.340627347904326	0.0996548427406507
GeneB_007	-1.62297593529155	-3.0179326794179	-0.575057096150816	0.663876600666173	-0.499528951911234	-0.452902886537227	-0.764005910827448	0.229628914346807	-0.946260797708288	1.70597982356461
GeneB_008	-1.53633792681788	-2.99068928363174	-0.49627014313745	0.684677074503549	-0.658122097568282	-0.491963535892857	-0.277958287520703	0.224260377349766	-1.34180761739308	1.45261177539023
GeneB_009	-0.5116027734362	0.251097088847344	-0.358056995978456	-0.69690177466674	-0.957757283271874	1.3086295367487	1.01677397775977	0.0761366349502805	-1.32843646853908	-0.833998015228465
GeneB_010	-0.842147235183532	-0.0189299540549056	-0.736382171925199	-1.48465644541161	-0.757037558514702	1.50664198951793	0.94159384714244	-0.141002560135865	-1.5720909582379	-0.71437771442294
GeneB_011	-1.86581384861995	0.844792223223237	-0.877664383433726	0.141572872132219	1.54737222568518	-1.12828853519737	-1.03252713710511	-0.191722235336317	0.347696732438648	-1.06410971501924
GeneB_012	-1.79784477645614	0.9712852971492	-0.876213000316496	0.327268046661175	1.67671240903095	-0.9607948241412	-0.883738752903511	0.306843486947416	0.0311863487772968	-0.611612308985238
GeneB_013	2.22353430190807	-1.10557590570003	0.613286618687034	0.367937501091765	-0.188440426259463	1.01035303245212	-0.255581423099522	-0.220655451134541	0.608274553380681	0.599811088697427
