Genes	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
GeneA_001	1.37095844714667	0.321925265203947	1.20096537559849	-0.0406984751512149	-2.00092923773151	-1.09615624155886	-0.0046207678264578	0.724173800683369	1.33491258537547	-1.30382115364487
GeneA_002	1.6797006629408	0.59635772551983	1.20022849559463	0.000104390572903242	-2.21697530121445	-1.15559354057422	-0.31338340964094	0.434087031927584	0.968668658699744	-1.05295884246142
GeneA_003	0.363128411337339	1.57572751979198	-1.00320864683985	1.16716954923568	1.17132512735879	-1.19849585655778	0.0389909128725626	0.732528486768414	0.0554869546651026	0.17100737371791
GeneA_004	0.69761995088596	1.45184406391385	-1.3419018662419	1.14079014970257	1.84389623535258	-0.586101905332633	-0.476949188143873	0.625456489931698	0.515471102313791	0.159534144734839
GeneA_005	0.404268323140999	0.0897606465996057	-0.666773408757817	-0.467845324672254	-1.37686159824052	1.29770589960467	-0.14647262699887	-0.453397511229793	-0.578355728360897	0.104659440835727
GeneA_006	0.883492295838927	-0.0103149713933592	-0.485277631583204	-0.400572952897178	-0.408140749596504	1.57384166963642	-0.508434347763646	-0.634561861978773	-0.467285142974278	-0.465640753168155
GeneA_007	1.51152199743894	0.679288816055271	-0.422255881868856	-0.00776203377732663	-0.705821394760121	-0.738440754213064	0.482369466104533	-0.290145311790079	-0.00243278000660164	1.61834393588343
GeneA_008	0.970199013949966	0.342742034148705	-0.526634763836598	0.363908610812267	-0.788080664215805	-0.689726539545606	0.462987393178614	-0.501716440897622	0.406226400618695	1.28938997945843
GeneA_009	2.01842371387704	-2.99309008315293	0.188193034501498	-0.533492329950436	-0.645743723142491	-1.01759611982611	-1.24639549803204	-0.291227708779169	1.47684227897655	2.96586536983324
GeneA_010	1.94989365831297	-3.09743850733602	0.347831620353518	-0.0513219612720803	-0.491599365307513	-0.602884171654197	-1.01746638346707	-0.478603072169402	1.50130541910525	3.37868910324267
